,Company Name,Industry,Symbol,eps,bv,insider_h,inst_h,float_pc
165,Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO,21.14,88.92,75.51,11.295,0.24371780810597027
166,Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,34.38,250.42,52.568000000000005,20.645,0.5064176377193729
167,Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,61.533,450.223,73.265,10.786999999999999,0.2868322437824437
168,Godrej Agrovet Ltd.,CONSUMER GOODS,GODREJAGRO,16.33,106.923,73.454005,16.440001000000002,0.1466946211592724
169,Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,16.83,92.366,63.233,20.681,0.3553046735761472
170,Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND,9.94,224.543,80.574995,11.9169995,0.3276216852268731
171,Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,-7.48,324.322,63.07899999999999,21.967,0.3005802599909194
172,Granules India Ltd.,PHARMA,GRANULES,21.95,87.736,45.555001,19.189999999999998,0.5521591262046108
173,Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,-5.275,227.096,65.886,14.265001,0.3330238821554336
174,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,65.49,997.592,40.849000000000004,25.174000000000003,0.5549819152791303
175,Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP,62.38,523.469,29.215000000000003,41.262,0.6324274389994965
176,Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,-0.81,33.846,103.65899999999999,13.843,0.41287748509768357
177,Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,GRINDWELL,21.6,123.197,59.900003999999996,19.159001,0.3875640534682081
178,Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,GUJALKALI,22.57,731.92,76.053,3.159,0.25316381836182184
179,Gujarat Ambuja Exports Ltd.,CONSUMER GOODS,GAEL,14.74,72.186,71.809,0.736,0.2731017281059855
